taxon_id,taxon,log2_fc,clr_difference,mean_rel_non_ebf,mean_rel_ebf,prevalence_non_ebf,prevalence_ebf,p_raw_dacomp (1e+03),p_raw_dacomp (1e+04),p_raw_dacomp (1e+05),p_raw_dacomp (1e+06),p_raw_dacomp (1e+07),p_raw_dacomp + permApprox(U) (1e+03),p_raw_dacomp + permApprox(C) (1e+03),p_adj_dacomp (1e+03),p_adj_dacomp (1e+04),p_adj_dacomp (1e+05),p_adj_dacomp (1e+06),p_adj_dacomp (1e+07),p_adj_dacomp + permApprox(U) (1e+03),p_adj_dacomp + permApprox(C) (1e+03)
Haemophilus,Haemophilus,1.0002621692965343,0.8148981756290173,0.002044674584997756,0.004091092725334034,0.24022346368715083,0.408,0.03696303696303696,0.039896010398960104,0.007149928500714993,0.1077918922081078,0.44586495541350446,0.029744564860778137,0.029744564860778137,0.12826304130651958,0.11949519333780909,0.02764442943805856,1,1,0.15679558536701396,0.15679558536701396
9_Pasteurellaceae(F),9_Pasteurellaceae(F),2.905919060861089,0.13651158689174225,7.804683122060561e-7,1.2344522892215401e-5,0.00558659217877095,0.010666666666666666,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1
Acinetobacter,Acinetobacter,0.15165605995153922,0.1101478828392185,1.4621787497438839e-5,1.635336689110069e-5,0.055865921787709494,0.056,0.5724275724275725,1,0.5535344646553535,1,0.5618581438141856,0.5724275724275725,0.5724275724275725,1,1,1,1,1,0.7971095571095571,0.7971095571095571
Bilophila,Bilophila,2.1662013963847557,0.23462426517937718,2.0990955771825996e-5,9.770421571923018e-5,0.01675977653631285,0.05333333333333334,0.3086913086913087,0.17718228177182282,0.6065839341606584,0.30995469004530996,0.10268578973142102,0.3086913086913087,0.3086913086913087,1,1,1,1,1,0.6083565557249767,0.6083565557249767
Fusobacterium,Fusobacterium,-1.664549623351757,-0.04833908472841697,9.731407500585588e-5,3.001246817333648e-5,0.0782122905027933,0.02666666666666667,0.1038961038961039,0.0344965503449655,0.033899661003389966,0.5972794027205973,0.804946019505398,0.1038961038961039,0.1038961038961039,1,0.11195034342719573,0.0930690693093069,1,1,0.3298760063465946,0.3298760063465946
Brevundimonas,Brevundimonas,0.8253442576133306,0.14353524154376163,2.945738850932521e-6,5.991682790691008e-6,0.0111731843575419,0.029333333333333333,NA,0.5634436556344365,0.5616443835561644,1,0.5618331438166856,NA,NA,1,1,1,1,1,NA,NA
Akkermansia,Akkermansia,-4.0842747254259795,0.11606478250902424,0.004062263333508513,2.3854425867240683e-4,0.4245810055865922,0.5386666666666666,0.055944055944055944,0.1777822217778222,0.03203967960320397,0.005278994721005279,0.10596628940337106,0.059267235659860085,0.059267235659860085,0.15787915787915788,1,0.08623606071631593,0.026616281076026614,1,0.22609352862835513,0.22609352862835513
Blastococcus,Blastococcus,-1.7431510038686466,0.08523087017888398,6.3694927840032855e-6,1.2013893384140074e-6,0.01675977653631285,0.010666666666666666,0.3276723276723277,0.3240675932406759,0.32181678183218165,0.7807562192437808,0.3232839676716032,0.3276723276723277,0.3276723276723277,1,1,1,1,1,0.6083565557249767,0.6083565557249767
Corynebacterium,Corynebacterium,1.012360959255226,0.47068675440964247,7.033494575704354e-5,1.4289753370354816e-4,0.1564245810055866,0.27466666666666667,0.3876123876123876,0.32836716328367166,0.4288557114428856,0.8855461144538855,0.9645397035460297,0.3876123876123876,0.3876123876123876,1,1,1,1,1,0.6871433651094668,0.6871433651094668
Lawsonella,Lawsonella,1.5419646103379325,0.059130649168952054,1.1832087840795333e-5,3.636585497127254e-5,0.0335195530726257,0.013333333333333334,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
Cutibacterium,Cutibacterium,2.1123904964238043,0.2217269012992633,4.316698086996379e-6,2.1989784547646408e-5,0.00558659217877095,0.048,1,0.5612438756124387,0.5626343736562635,1,1,1,1,1,1,1,1,1,1,1
Actinomyces,Actinomyces,1.0382061622543952,0.12543675941321109,0.002265899745312922,0.004654469762169941,0.6759776536312849,0.648,0.44555444555444557,0.09959004099590041,0.3208367916320837,0.14561085438914562,0.8483508151649185,0.44555444555444557,0.44555444555444557,1,0.2184867227562958,1,1,1,0.7523296375755393,0.7523296375755393
Varibaculum,Varibaculum,1.2361847111857327,0.10812869356690591,3.228635688727319e-4,7.619406861597117e-4,0.12849162011173185,0.11466666666666667,0.33466533466533466,0.3411658834116588,0.9294607053929461,0.5983754016245983,0.895307010469299,0.33466533466533466,0.33466533466533466,1,1,1,1,1,0.6083565557249767,0.6083565557249767
Dermabacter,Dermabacter,0.3970007618508386,0.16032163984819725,2.441086720133778e-5,3.2460207061047905e-5,0.01675977653631285,0.037333333333333336,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
Actinotignum,Actinotignum,1.4547418283453626,0.13713379464998898,4.630686234623641e-6,1.443413354124492e-5,0.00558659217877095,0.013333333333333334,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA
Rothia,Rothia,0.16357978979508575,-0.24648547563838497,0.0018453884702376475,0.0020670712775443176,0.6703910614525139,0.5946666666666667,0.8841158841158842,0.22827717228277172,0.8822511774882251,0.3563476436523563,0.9458242054175795,0.8841158841158842,0.8841158841158842,1,1,1,1,1,1,1
