taxon_id,statistic,p_raw,p_adj,is_reference,method,n_perm,constraint,exceed0,method_used,mean_rel_non_ebf,mean_rel_ebf,mean_clr_non_ebf,mean_clr_ebf,log2_fc,clr_difference,prevalence_non_ebf,prevalence_ebf,taxon,method_label,panel_label,p_plot_raw,neglog10_p_raw,significant,direction,neglog10_p_display
Intestinibacter,37.37790629725596,9.9999990000001e-8,9.799999020000097e-7,FALSE,dacomp,10000000,NA,NA,NA,0.005931049450590347,0.0010344444653685686,2.6521671848419652,1.0296296638148053,-2.518280445717382,-1.62253752102716,0.7262569832402235,0.5653333333333334,Intestinibacter,dacomp (1e+07),"dacomp
1e+07 permutations",9.9999990000001e-8,7.000000043429446,TRUE,Higher in 'non-EBF',7.000000043429446
Clostridioides,5.197661761770548,0.024645397535460245,0.09721504027849598,TRUE,dacomp,10000000,NA,NA,NA,9.324932253497497e-4,2.926056419715692e-4,-0.3953899647065735,-0.5642033236392391,-1.6687598609042664,-0.16881335893266558,0.12290502793296089,0.072,Clostridioides,dacomp (1e+07),"dacomp
1e+07 permutations",0.024645397535460245,1.6082641721911675,FALSE,No difference,1.6082641721911675
Peptostreptococcus,2.0949720670391065,0.3227532677246732,1,TRUE,dacomp,10000000,NA,NA,NA,9.817661359692589e-5,1.4571137157425535e-5,-0.9068870767236628,-0.8938186161217437,-2.6711256570830795,0.013068460601919019,0.027932960893854747,0.005333333333333333,Peptostreptococcus,dacomp (1e+07),"dacomp
1e+07 permutations",0.3227532677246732,0.4911293520124025,FALSE,No difference,0.4911293520124025
Romboutsia,3.06732738015005,0.07644339235566076,0.18986910681954092,FALSE,dacomp,10000000,NA,NA,NA,0.0014342082957929817,2.9739078441553803e-4,0.5458630373197074,0.5449705902519102,-2.2659852496652078,-8.924470677972307e-4,0.4581005586592179,0.456,Romboutsia,dacomp (1e+07),"dacomp
1e+07 permutations",0.07644339235566076,1.1166600483484026,FALSE,No difference,1.1166600483484026
Solobacterium,2.0949720670391065,0.3229518677048132,1,TRUE,dacomp,10000000,NA,NA,NA,3.557762002775942e-5,4.807475491433136e-6,-0.8594281887825539,-0.8920722833350155,-2.654978141506368,-0.032644094552461644,0.061452513966480445,0.008,Solobacterium,dacomp (1e+07),"dacomp
1e+07 permutations",0.3229518677048132,0.4908621994888492,FALSE,No difference,0.4908621994888492
Holdemanella,2.032680687786053,0.11623118837688116,1,TRUE,dacomp,10000000,NA,NA,NA,0.002664611143706288,1.1336256429175857e-4,-0.6529275077538907,-0.709862564148216,-4.542779557728978,-0.05693505639432528,0.08379888268156424,0.08,Holdemanella,dacomp (1e+07),"dacomp
1e+07 permutations",0.11623118837688116,0.9346773218376334,FALSE,No difference,0.9346773218376334
Faecalicoccus,6.307687636628587,0.033441696655830334,0.1109307369069263,TRUE,dacomp,10000000,NA,NA,NA,8.856211017052139e-4,6.0397201630886856e-6,-0.8551762620895509,-0.892446174565326,-6.976655807800743,-0.03726991247577516,0.0335195530726257,0.008,Faecalicoccus,dacomp (1e+07),"dacomp
1e+07 permutations",0.033441696655830334,1.4757116968558506,FALSE,No difference,1.4757116968558506
Faecalitalea,3.3724339301220465,0.03332649666735033,0.1109307369069263,TRUE,dacomp,10000000,NA,NA,NA,0.002736782280270263,1.7329514453812225e-5,-0.8514574841879089,-0.8611123886191461,-7.222695342276023,-0.009654904431237177,0.027932960893854747,0.021333333333333333,Faecalitalea,dacomp (1e+07),"dacomp
1e+07 permutations",0.03332649666735033,1.4772103376447587,FALSE,No difference,1.4772103376447587
[Clostridium]_innocuum_group,18.617919970349167,1.4599998540000147e-5,1.0901427481285824e-4,FALSE,dacomp,10000000,NA,NA,NA,0.008187734851604492,8.714719793245367e-4,1.0227951781294435,0.2536234027814888,-3.2304598716807726,-0.7691717753479548,0.4692737430167598,0.3973333333333333,[Clostridium]_innocuum_group,dacomp (1e+07),"dacomp
1e+07 permutations",1.4599998540000147e-5,4.835647187645009,TRUE,Higher in 'non-EBF',4.835647187645009
Coprobacillus,6.307673860925883,0.033371096662890336,0.1109307369069263,TRUE,dacomp,10000000,NA,NA,NA,9.827442584132296e-4,0,-0.8373825331986368,-0.9196070491585991,-9.942139500183481,-0.08222451595996239,0.03910614525139665,0,Coprobacillus,dacomp (1e+07),"dacomp
1e+07 permutations",0.033371096662890336,1.4766295210402667,FALSE,No difference,1.4766295210402667
