SampleID,group,taxon_id,rarefied_count,taxon,taxon_plot
s026048,EBF,Enterococcus,103,Enterococcus,Enterococcus
s026048,EBF,Intestinibacter,2,Intestinibacter,Intestinibacter
s026048,EBF,Lactococcus,0,Lactococcus,Lactococcus
s026048,EBF,Streptococcus,23,Streptococcus,Streptococcus
s026048,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s026048,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s021300,EBF,Bifidobacterium,59,Bifidobacterium,Bifidobacterium
s021300,EBF,Blautia,2,Blautia,Blautia
s021300,EBF,Enterococcus,0,Enterococcus,Enterococcus
s021300,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s021300,EBF,Lactococcus,0,Lactococcus,Lactococcus
s021300,EBF,Streptococcus,16,Streptococcus,Streptococcus
s021300,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s021300,EBF,[Ruminococcus]_gnavugroup,3,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s022639,non-EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s022639,non-EBF,Blautia,1,Blautia,Blautia
s022639,non-EBF,Enterococcus,0,Enterococcus,Enterococcus
s022639,non-EBF,Intestinibacter,1,Intestinibacter,Intestinibacter
s022639,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s022639,non-EBF,Streptococcus,35,Streptococcus,Streptococcus
s022639,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s022639,non-EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s022844,EBF,Bifidobacterium,52,Bifidobacterium,Bifidobacterium
s022844,EBF,Blautia,0,Blautia,Blautia
s022844,EBF,Enterococcus,0,Enterococcus,Enterococcus
s022844,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s022844,EBF,Lactococcus,0,Lactococcus,Lactococcus
s022844,EBF,Streptococcus,0,Streptococcus,Streptococcus
s022844,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s022844,EBF,[Ruminococcus]_gnavugroup,2,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s028273,EBF,Bifidobacterium,55,Bifidobacterium,Bifidobacterium
s028273,EBF,Blautia,1,Blautia,Blautia
s028273,EBF,Enterococcus,14,Enterococcus,Enterococcus
s028273,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s028273,EBF,Lactococcus,0,Lactococcus,Lactococcus
s028273,EBF,Streptococcus,14,Streptococcus,Streptococcus
s028273,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s028273,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s025531,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s025531,EBF,Blautia,0,Blautia,Blautia
s025531,EBF,Enterococcus,0,Enterococcus,Enterococcus
s025531,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s025531,EBF,Lactococcus,0,Lactococcus,Lactococcus
s025531,EBF,Streptococcus,1,Streptococcus,Streptococcus
s025531,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s025531,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s022799,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s022799,EBF,Blautia,0,Blautia,Blautia
s022799,EBF,Enterococcus,5,Enterococcus,Enterococcus
s022799,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s022799,EBF,Lactococcus,1,Lactococcus,Lactococcus
s022799,EBF,Streptococcus,7,Streptococcus,Streptococcus
s022799,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s022799,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s023972,non-EBF,Bifidobacterium,22,Bifidobacterium,Bifidobacterium
s023972,non-EBF,Blautia,2,Blautia,Blautia
s023972,non-EBF,Enterococcus,0,Enterococcus,Enterococcus
s023972,non-EBF,Intestinibacter,9,Intestinibacter,Intestinibacter
