taxon_id,d.wass,d.wass^2,d.comp^2,d.comp,location,size,shape,rho,pval,p.ad.gpd,N.exc,gpd.shape,perc.loc,perc.size,perc.shape,decomp.error,p.adj,n_group1,n_group2,taxon
Sarcina,0.267247377474671,0.07142116076708928,0.06897438825128185,0.262629755076004,0.01861013943887194,0.01692041041285965,0.03344383839955026,0.8739807527212275,0.21021021021021022,NA,NA,NA,26.98,24.53,48.49,0.03425836950181427,0.32512512512512515,179,375,Sarcina
Clostridium_sensu_strict1,0.8995780551921408,0.8092406773832744,0.8129415486479393,0.9016327127206174,0.4604430147095305,0.02674906219245703,0.3257494717459518,0.967402643182181,0.002011851156295945,0.8796950744827392,250,-0.13954695317803634,56.64,3.29,40.07,0.004573264009209099,0.010146727570883899,179,375,Clostridium_sensu_strict1
Butyricicoccus,0.1408993660013069,0.01985263133957024,0.020458657776802988,0.1430337644642096,0.009971278176375406,4.49792314217359e-5,0.010442400369005844,0.9764755470253301,0.7747747747747747,NA,NA,NA,48.74,0.22,51.04,0.03052625250864449,0.7883673146831042,179,375,Butyricicoccus
Incertae_Sedis,0.364792863045516,0.1330738329289446,0.13386850929478478,0.36588045765630167,2.5760602025774255e-5,0.003740993505351108,0.13010175518740788,0.9137369973157458,0.2002002002002002,NA,NA,NA,0.02,2.79,97.19,0.00597169517364482,0.3181263455236058,179,375,Incertae_Sedis
UBA1819,0.3805179371758117,0.144793900512535,0.1460377831085964,0.3821489017498237,5.553197100587161e-4,0.07738237976311384,0.06810008363542382,0.9608246579252983,0.3263263263263263,NA,NA,NA,0.38,52.99,46.63,0.008590711291417419,0.4205983761539317,179,375,UBA1819
Faecalibacterium,0.34981257168266394,0.1223688353072389,0.12505076757276976,0.3536251794948569,0.01184834075003693,0.006435089797841008,0.10676733702489181,0.9812842219850175,0.4744744744744745,NA,NA,NA,9.47,5.15,85.38,0.02191679163078719,0.5674127735983406,179,375,Faecalibacterium
Subdoligranulum,0.38229208567815104,0.14614723877215077,0.1471248203343647,0.38356853407750313,0.032871048680048094,0.004353825952290471,0.10989994570202613,0.9636766386126391,0.16516516516516516,NA,NA,NA,22.34,2.96,74.7,0.0066890183518144575,0.2859575993904352,179,375,Subdoligranulum
Ruminococcus,0.1810109384654839,0.0327649598441552,0.032883126308963805,0.18133705167164213,0.01554146382218389,0.004456711556517517,0.012884950930262396,0.9728199381286228,0.4924924924924925,NA,NA,NA,47.26,13.55,39.18,0.0036064889250790877,0.5829502972360115,179,375,Ruminococcus
CAG-352,0.37367685638691284,0.1396343929992055,0.14009823757725637,0.3742969911410675,0.053209955129992235,0.02991791625824071,0.05697036618902342,0.9702052097212197,0.12912912912912913,NA,NA,NA,37.98,21.35,40.66,0.003321850498920531,0.24159643514482224,179,375,CAG-352
Flavonifractor,0.4793565611963493,0.22978271276198936,0.23280886389463845,0.4825027086915041,0.010348675554123249,0.05943617235464442,0.16302401598587077,0.9434002180243303,0.1011011011011011,NA,NA,NA,4.45,25.53,70.02,0.013169620535308013,0.2042042042042042,179,375,Flavonifractor
[Eubacterium]_coprostanoligenegroup,0.30081319879405105,0.09048858056870927,0.09038470731466491,0.3006404951344128,0.025987876732246635,0.03487688426658767,0.029519946315830603,0.8736171423443717,0.023023023023023025,NA,NA,NA,28.75,38.59,32.66,0.0011479156087047526,0.07854913737266679,179,375,[Eubacterium]_coprostanoligenegroup
Clostridia_UCG-014,0.24108495280568806,0.05812195446932084,0.06037678584265284,0.24571688147673704,0.001099397230125855,0.021909284356245864,0.03736810425628112,0.9263461455470047,0.2912912912912913,NA,NA,NA,1.82,36.29,61.89,0.038794830523501966,0.38838838838838835,179,375,Clostridia_UCG-014
Monoglobus,0.16409509170006778,0.026927199120053653,0.028282591654856033,0.1681742895179166,0.007804911890064571,0.001932920457203938,0.018544759307587526,0.9436032240586937,0.8068068068068068,NA,NA,NA,27.6,6.83,65.57,0.050335444424034925,0.8068068068068068,179,375,Monoglobus
Epulopiscium,0.8182150761136368,0.6694759107796444,0.6800250836809236,0.8246363341988537,0.009759976812956761,0.4472989074201231,0.2229661994478437,0.7023965181333963,0,0.18214717972954186,130,-0.43104452775004987,1.44,65.78,32.79,0.015757359945922644,0,179,375,Epulopiscium
[Eubacterium]_hallii_group,0.2764494484081715,0.07642429752518226,0.07810948772485567,0.27948074660851985,0.009286696145959403,0.013894295204998068,0.0549284963738982,0.9563135542913942,0.7637637637637638,NA,NA,NA,11.89,17.79,70.32,0.02205045063211908,0.7840406778459876,179,375,[Eubacterium]_hallii_group
Anaerostipes,0.5780149752524758,0.3341013116161202,0.33982617970368423,0.5829461207553269,0.0018068664526530043,0.08381932657807403,0.2541999866729572,0.9488661631229851,0.14814814814814814,NA,NA,NA,0.53,24.67,74.8,0.017135126048657412,0.267960267960268,179,375,Anaerostipes
Lachnospiraceae_ND3007_group,0.15259193465765433,0.02328429852256585,0.02361325972584271,0.15366606562882618,0.013060322435955908,0.0016781542472826426,0.008874783042604162,0.93287031829575,0.0890890890890891,NA,NA,NA,55.31,7.11,37.58,0.01412802721791473,0.19498744027045914,179,375,Lachnospiraceae_ND3007_group
[Eubacterium]_eligengroup,0.1929783541272116,0.03724064516164748,0.037939297965017216,0.19478012723329147,0.02148265300088527,9.320274210052273e-4,0.015524617543126718,0.9800639029844834,0.5425425425425425,NA,NA,NA,56.62,2.46,40.92,0.01876049140226077,0.6170091660287739,179,375,[Eubacterium]_eligengroup
Lachnospira,0.2140690909214159,0.04582557568792143,0.04417126377077145,0.21016960715282182,0.016818450207868138,0.004138328378794966,0.023214485184108347,0.9061361691764129,0.2082082082082082,NA,NA,NA,38.08,9.37,52.56,0.036100188427878654,0.32512512512512515,179,375,Lachnospira
Hungatella,0.29664442629521115,0.08799791565201497,0.08748329939753441,0.2957757586374083,0.02657218824279719,0.038923359558582026,0.021987751596155198,0.9890806571274752,0.47047047047047047,NA,NA,NA,30.37,44.49,25.13,0.005848050498327595,0.5674127735983406,179,375,Hungatella
Prevotella,0.2730514059460597,0.07455707028911988,0.07605299113567349,0.2757770678205015,2.74680724784126e-4,0.01683522578795359,0.05894308462293577,0.969197059624437,0.5385385385385385,NA,NA,NA,0.36,22.14,77.5,0.020064104460551846,0.6170091660287739,179,375,Prevotella
Bacteroides,1.1259448913731191,1.267751898409225,1.267135708275585,1.1256712256585335,0.7615020528994787,0.013022469904957652,0.4926111854711487,0.9602887103800346,0,0.5476762112612847,250,-0.16304316399435495,60.1,1.03,38.88,4.860494663138093e-4,0,179,375,Bacteroides
