SampleID,delta_k
s027904,0.0016595308722566632
s025003,0.0018732980321632593
s024560,0.0019441565899310416
s029199,0.0016263205879441234
s022915,0.0018606884442016953
s028751,0.0014135189830279868
s022913,0.0020626143615915596
s028203,0.0031276182885750865
s028838,0.0028044037186520697
s023143,0.0022547162033370914
s023697,0.0013431106260677408
s025870,0.0020068919869744837
s021718,0.0017281195911184033
s023469,0.0022819740757916056
s021737,0.0021938968801800823
s027168,0.0014205721977166668
s027169,0.0019243250288751347
s021865,0.0033659553303392285
s024343,0.001702754830619403
s025267,0.003128643459147332
s021441,0.0022166458698642507
s029561,0.0022649201320313122
s022547,0.0018516394931736378
s023908,0.0025645149394107284
s025878,0.0027067775952945836
s026661,0.001522415441694771
s027875,0.0016801749085254781
s028650,0.00218576108973232
s027608,0.0018380292510283556
s025185,0.0015280510145337662
s021917,0.0016519819915035425
s025388,0.0018879071665096343
s026814,0.0030948513237488325
s029982,0.0019718854597465044
s022566,0.0026185953957114983
s026078,0.0015420051259777791
s029822,0.0035008048693871297
s028124,0.0014299712531332801
s023281,0.002011313106014878
s021012,0.0027054521296558955
s022166,0.002820799367734739
s028463,0.0017913953728489744
s023596,0.0012892622425044456
s029526,0.002216436194932091
s027796,0.0010873887174673261
s023389,0.0028488103611506894
s027652,0.0021388099126012712
s022926,0.0017625908460540312
s026039,0.00203254534644987
s027160,0.0032744362389962346
s024591,0.0024710489958733794
s022818,0.0014179635407892061
s027919,9.932704332254747e-4
s024317,0.002007121055486851
s022902,0.0022521042115501207
s024338,0.0015606459322060734
s026876,0.0017307302554807771
s027715,0.0010898991802934309
s026632,0.0035068337069100006
s026120,0.001465238785778627
s025005,0.0016696739263266545
s026064,0.0015367372719468791
s023023,0.0016994400654023762
s024949,0.002433760383470379
s022845,0.0011834622931325516
s021451,0.00312911658502799
s023466,0.0014842413623042238
s024571,0.0013370506213490681
s023453,0.001693349628092642
s022954,0.001514107176437098
s023786,0.001239003325131006
s025288,0.0014423023730641862
s021523,0.0017768524453196765
s024754,0.0017884305355647763
s027860,0.0013532543937214644
s023268,0.0013260494094344836
s027305,0.0012116982467582026
s029004,0.0015603300045144148
s023952,0.002230377756406345
s029636,0.0014124970371264603
s024605,0.0019400752988301278
s023923,0.0027947623911540103
s025710,0.0011881064005762854
s021145,0.001785116463164597
s022929,0.0014348701807114742
s024212,0.0019760010470246223
s021742,0.001865027825750448
s028126,0.001555384898983246
s025001,0.001129208817063162
s024036,0.0020507909240257915
s024147,0.0022771616488597834
s029314,0.0017403881912423772
s026478,0.0010649242009581482
s025547,0.002643979609359819
s028433,0.0012936958517779263
s026859,0.0022229988767634426
s024765,0.0017063020060220275
s029330,0.0012171290766765232
s027798,0.0018365763459964077
s024024,0.001049379232789908
s025399,0.0015224755039631387
s026895,0.001066965258166141
s024645,0.0014818776476137872
s029729,0.003872311681049552
s021707,0.0018424470416868546
s029090,0.0021598600196200343
s028436,0.0015305377542014292
s024820,0.0015651388919015084
s022074,0.002310824559871782
s023359,0.00300351952912753
s021149,0.001545616004363044
s025503,0.0011618565373540408
s022993,0.0021764854596683734
s026402,0.0020431040376181803
s021307,0.0018266188525174953
s024988,0.0014261706347511393
s021603,0.0013740014631149695
s028865,0.002474366354272169
s028692,9.964956600524058e-4
s027278,0.0018335498593412547
s026058,0.0013406223459381788
s023144,0.001489985151504963
s024084,0.002673692693663084
s027375,0.0020272039454794456
s025207,0.0018983041909412376
s028219,0.0012758619749484049
s025743,0.0013128999268209986
s025183,0.002148652325560852
s027714,0.0012415235403702247
s022853,0.0023317449576372128
s028628,0.0019251767807443925
s023597,0.001716895092497768
s027940,0.001400237888821404
s028230,0.0013478666655030113
s025257,0.0018284466390560707
s023392,0.0015597037214217222
s028045,0.0017366795500812961
s022939,0.001705831753402329
s025045,0.002609705928864229
s025793,0.002249312576845797
s021148,0.0030524614192250516
s028361,0.0010535727722623372
s022039,0.005265467057724894
s025694,0.001486932284908792
s029359,0.0016611297402946011
s024201,0.0015453763039132004
s023867,0.001331915174735613
s023379,0.0023996296294211492
s021250,0.001467244445861807
s028781,0.0012395972775310813
s026594,0.0013707600648980036
s029722,0.0013446971903313793
s028264,0.001405126643889055
s025078,0.0013275616399504313
s029167,0.0013743579662329575
s025913,0.0022867913704760386
s022265,0.0013723259810136611
s025363,0.00160469007138793
s027625,0.0017339156697800944
s029667,0.003556635244467693
s028922,0.0015049024372242009
s029049,0.00135914273495524
s025272,0.002136447319087662
s023420,0.0022558076970429853
s028655,0.001070713712505823
s022708,0.0015290759404753512
s028689,0.0019122582024246504
s027927,0.0015801497981369039
s027636,0.0013720585483960367
s022872,0.0012003685942448244
s023126,0.002086228011540647
s029547,0.0011278097965473264
s028196,0.001371876515384779
s029412,0.0018060741519840425
s027713,0.0010373600416031395
s024450,0.002427143033786527
s027290,0.0014826068682635063
s023000,0.0018921040341443218
s025845,0.002169052569635096
s026184,0.0017282587930050675
s025687,0.002163625736454445
s024493,0.0012878965970323693
s026335,0.0027632023652952747
s029421,0.0014937991056763545
s029839,0.0019090055315993985
s022077,0.0013010474130350292
s026563,0.0015219904544698346
s024813,0.0017444102052476922
s027153,0.002495754717670477
s024674,0.0025067646011389887
s023271,0.0019992725006118426
s026023,0.0018605305224283785
s021239,0.0015321092529885592
s024557,0.0013224998105548337
s028075,0.0020952422433137084
s026391,0.001990625748732967
s027621,0.0024317949543482226
s022980,0.001519585469654533
s022378,0.0014025995788816172
s027332,0.0024983900042372166
s022812,0.0014627618883504942
s028474,0.0016806624248762087
s029294,0.002432911559422596
s022506,0.0011559586959263414
s021615,0.0016923847370276489
s021870,0.0018464766929787886
s023969,0.0032632700007512046
