taxon,prevalence,n_samples_present,keep
uncultured18,0.02533783783783784,15,FALSE
Lachnoclostridium,0.16891891891891891,100,TRUE
[Ruminococcus]_gnavugroup,0.9763513513513513,578,TRUE
Dorea,0.04560810810810811,27,FALSE
[Eubacterium]_fissicatena_group,0.006756756756756757,4,FALSE
Coprococcus,0.011824324324324325,7,FALSE
Tyzzerella,0.14189189189189189,84,TRUE
22_Lachnospiraceae(F),0.07939189189189189,47,FALSE
Roseburia,0.0929054054054054,55,FALSE
Agathobacter,0.28040540540540543,166,TRUE
Serratia,0.0016891891891891893,1,FALSE
23_Yersiniaceae(F),0.0033783783783783786,2,FALSE
Proteus,0.033783783783783786,20,FALSE
Providencia,0.0016891891891891893,1,FALSE
Morganella,0.010135135135135136,6,FALSE
Shewanella,0.006756756756756757,4,FALSE
24_Enterobacteriaceae(F),0.7381756756756757,437,TRUE
Escherichia-Shigella,0.972972972972973,576,TRUE
Shuttleworthia,0.0033783783783783786,2,FALSE
[Ruminococcus]_gauvreauii_group,0.02195945945945946,13,FALSE
Lachnoanaerobaculum,0.018581081081081082,11,FALSE
Fusicatenibacter,0.5472972972972973,324,TRUE
Lachnospiraceae_NK4A136_group,0.02533783783783784,15,FALSE
CAG-56,0.0033783783783783786,2,FALSE
Lachnospiraceae_FCS020_group,0.0016891891891891893,1,FALSE
Blautia,0.9915540540540541,587,TRUE
Lachnospiraceae_UCG-008,0.0033783783783783786,2,FALSE
